Roll,Name,Email
1401CE21,Prakash,Prakash@mycollege.in
1401CE22,Pratibha,Pratibha@mycollege.in
1401CE23,Praveen,Praveen@mycollege.in
1401CE24,Priyanshu,Priyanshu@mycollege.in
1401CE25,Kshitij,Kshitij@mycollege.in
1401CE26,Arushi,Arushi@mycollege.in
1401CE27,Ishan,Ishan@mycollege.in
1401CE28,Garima,Garima@mycollege.in
1401CE29,Manish,Manish@mycollege.in
1401CE30,Vaishnavi,Vaishnavi@mycollege.in
1401CE31,Shreyansh,Shreyansh@mycollege.in
1401CE32,Atul,Atul@mycollege.in
1401CE33,Sarvesh,Sarvesh@mycollege.in
1401CE34,Vidya,Vidya@mycollege.in
1401CE35,Shubhangi,Shubhangi@mycollege.in
1401CE36,Mohsin,Mohsin@mycollege.in
1401CE37,Saran,Saran@mycollege.in
1401CE38,Vikash,Vikash@mycollege.in
1401CE39,Aayush,Aayush@mycollege.in
1401CE40,Akhilesh,Akhilesh@mycollege.in
1401CE41,Nitin,Nitin@mycollege.in
1401CE42,Himani,Himani@mycollege.in
1401CE43,Sushil,Sushil@mycollege.in
1401CE44,Vartika,Vartika@mycollege.in
1401CE45,Aviral,Aviral@mycollege.in
1401CE46,Abdul,Abdul@mycollege.in
1401CE47,Sumeet,Sumeet@mycollege.in
1401CE48,Prerna,Prerna@mycollege.in
1401CE49,Nupur,Nupur@mycollege.in
1401CE50,Neha,Neha@mycollege.in
1401CE51,Vikas,Vikas@mycollege.in
1401CE52,Vanshika,Vanshika@mycollege.in
1401CE53,Rohan,Rohan@mycollege.in
1401CE54,Shivansh,Shivansh@mycollege.in
1401CE55,Sunil,Sunil@mycollege.in
1401CE56,Juhi,Juhi@mycollege.in
1401AI20,Kajal,Kajal@mycollege.in
1401AI21,Ankit,Ankit@mycollege.in
1401AI22,Gaurav,Gaurav@mycollege.in
1401AI23,Nikhil,Nikhil@mycollege.in
1401AI24,Siddharth,Siddharth@mycollege.in
1401AI25,Prashant,Prashant@mycollege.in
1401AI26,Priya,Priya@mycollege.in
1401AI27,Harshit,Harshit@mycollege.in
1401AI28,Shashank,Shashank@mycollege.in
1401AI29,Akash,Akash@mycollege.in
1401AI30,Varun,Varun@mycollege.in
1401AI31,Yash,Yash@mycollege.in
1401AI32,Shreya,Shreya@mycollege.in
1401AI33,Harshita,Harshita@mycollege.in
1401AI34,Anurag,Anurag@mycollege.in
1401AI35,Vivek,Vivek@mycollege.in
1401AI36,Swati,Swati@mycollege.in
1401AI37,Vishal,Vishal@mycollege.in
1401AI38,Aditya,Aditya@mycollege.in
1401AI39,Nidhi,Nidhi@mycollege.in
1401AI40,Ayushi,Ayushi@mycollege.in
1401AI41,Krishna,Krishna@mycollege.in
1401AI42,Anshika,Anshika@mycollege.in
1401AI43,Sakshi,Sakshi@mycollege.in
1401AI44,Shivani,Shivani@mycollege.in
1401AI45,Prakhar,Prakhar@mycollege.in
1401CS70,Vishesh,Vishesh@mycollege.in
1401CS71,Ayushman,Ayushman@mycollege.in
1401CS72,Geeta,Geeta@mycollege.in
1401CS73,Divyanshu,Divyanshu@mycollege.in
1401CS74,Jaswant,Jaswant@mycollege.in
1401CS75,Hemanshu,Hemanshu@mycollege.in
1401CS76,Bhoopendra,Bhoopendra@mycollege.in
