Roll,Name,Email
1401AI08,Anushka,Anushka@mycollege.in
1401CB08,Piyush,Piyush@mycollege.in
1401CE08,Ashish,Ashish@mycollege.in
1401CH08,Lucky,Lucky@mycollege.in
1401CS08,Narendra,Narendra@mycollege.in
1401CT08,Shaqib,Shaqib@mycollege.in
1401EC08,Monu,Monu@mycollege.in
1401MC08,Sukirti,Sukirti@mycollege.in
1401MM08,Deepa,Deepa@mycollege.in
1401MT08,Moosvi,Moosvi@mycollege.in
1401AI19,Himanshu,Himanshu@mycollege.in
1401CB19,Nikita,Nikita@mycollege.in
1401CE19,Keshav,Keshav@mycollege.in
1401CH19,Preeti,Preeti@mycollege.in
1401CS19,Amrita,Amrita@mycollege.in
1401CT19,Monti,Monti@mycollege.in
1401EC19,Sanskar,Sanskar@mycollege.in
1401MC19,Rama,Rama@mycollege.in
1401MM19,Nishant,Nishant@mycollege.in
1401MT19,Sumaiya,Sumaiya@mycollege.in
1401AI30,Varun,Varun@mycollege.in
1401CB30,Ravi,Ravi@mycollege.in
1401CE30,Vaishnavi,Vaishnavi@mycollege.in
1401CH30,Srijan,Srijan@mycollege.in
1401CS30,Dalia,Dalia@mycollege.in
1401CT30,Sapna,Sapna@mycollege.in
1401EC30,Dev,Dev@mycollege.in
1401MC30,Mridul,Mridul@mycollege.in
1401MM30,Sairam,Sairam@mycollege.in
1401MT30,Pradium,Pradium@mycollege.in
1401AI41,Krishna,Krishna@mycollege.in
1401CB41,Akshita,Akshita@mycollege.in
1401CE41,Nitin,Nitin@mycollege.in
1401CH41,Abhijit,Abhijit@mycollege.in
1401CS41,Om,Om@mycollege.in
1401CT41,Saurav,Saurav@mycollege.in
1401EC41,Rana,Rana@mycollege.in
1401MC41,Asutosh,Asutosh@mycollege.in
1401MM41,Pranav,Pranav@mycollege.in
1401MT41,Jashveer,Jashveer@mycollege.in
1401CE52,Vanshika,Vanshika@mycollege.in
1401CH52,Surya,Surya@mycollege.in
1401CS52,Uttam,Uttam@mycollege.in
1401CT52,Anupriya,Anupriya@mycollege.in
1401EC52,Indu,Indu@mycollege.in
1401MC52,Kalpana,Kalpana@mycollege.in
1401MM52,Anunay,Anunay@mycollege.in
1401MT52,Noorsaba,Noorsaba@mycollege.in
1401CH63,Kiran,Kiran@mycollege.in
1401CS63,Arti,Arti@mycollege.in
1401CT63,Ragini,Ragini@mycollege.in
1401MC63,Aaryan,Aaryan@mycollege.in
1401MM63,Asad,Asad@mycollege.in
1401MT63,Prakharendra,Prakharendra@mycollege.in
1401CH74,Kanika,Kanika@mycollege.in
1401CS74,Jaswant,Jaswant@mycollege.in
1401MC74,Abhimanyu,Abhimanyu@mycollege.in
1401MM74,Shaileja,Shaileja@mycollege.in
1401MT74,Jenamani,Jenamani@mycollege.in
1401CS85,Satyam,Satyam@mycollege.in
