Roll,Name,Email
1401AI10,Saurabh,Saurabh@mycollege.in
1401CB10,Ajay,Ajay@mycollege.in
1401CE10,Ishita,Ishita@mycollege.in
1401CH10,Manu,Manu@mycollege.in
1401CS10,Adil,Adil@mycollege.in
1401CT10,Sudheer,Sudheer@mycollege.in
1401EC10,Nilesh,Nilesh@mycollege.in
1401MC10,Surendra,Surendra@mycollege.in
1401MM10,Deep,Deep@mycollege.in
1401MT10,Toshit,Toshit@mycollege.in
1401AI21,Ankit,Ankit@mycollege.in
1401CB21,Ananya,Ananya@mycollege.in
1401CE21,Prakash,Prakash@mycollege.in
1401CH21,Hemant,Hemant@mycollege.in
1401CS21,Kundalik,Kundalik@mycollege.in
1401CT21,Nitikarsh,Nitikarsh@mycollege.in
1401EC21,Prarthana,Prarthana@mycollege.in
1401MC21,Chinmay,Chinmay@mycollege.in
1401MM21,Vipasha,Vipasha@mycollege.in
1401MT21,Ibrahim,Ibrahim@mycollege.in
1401AI32,Shreya,Shreya@mycollege.in
1401CB32,Ankita,Ankita@mycollege.in
1401CE32,Atul,Atul@mycollege.in
1401CH32,Stuti,Stuti@mycollege.in
1401CS32,Amarnath,Amarnath@mycollege.in
1401CT32,Prachi,Prachi@mycollege.in
1401EC32,Faizan,Faizan@mycollege.in
1401MC32,Sreekanth,Sreekanth@mycollege.in
1401MM32,Gnaneswar,Gnaneswar@mycollege.in
1401MT32,Pranidhi,Pranidhi@mycollege.in
1401AI43,Sakshi,Sakshi@mycollege.in
1401CB43,Sneha,Sneha@mycollege.in
1401CE43,Sushil,Sushil@mycollege.in
1401CH43,Sanskriti,Sanskriti@mycollege.in
1401CS43,Akhil,Akhil@mycollege.in
1401CT43,Simaran,Simaran@mycollege.in
1401EC43,Hartesh,Hartesh@mycollege.in
1401MC43,Mrityunjay,Mrityunjay@mycollege.in
1401MM43,Bibhu,Bibhu@mycollege.in
1401MT43,Shreyans,Shreyans@mycollege.in
1401CE54,Shivansh,Shivansh@mycollege.in
1401CH54,Kaif,Kaif@mycollege.in
1401CS54,Aparna,Aparna@mycollege.in
1401CT54,Kritika,Kritika@mycollege.in
1401EC54,Shreyas,Shreyas@mycollege.in
1401MC54,Kapil,Kapil@mycollege.in
1401MM54,Shwetanshi,Shwetanshi@mycollege.in
1401MT54,Nihal,Nihal@mycollege.in
1401CH65,Samarth,Samarth@mycollege.in
1401CS65,Ayan,Ayan@mycollege.in
1401MC65,Surbhi,Surbhi@mycollege.in
1401MM65,Asmita,Asmita@mycollege.in
1401MT65,Rajneesh,Rajneesh@mycollege.in
1401CH76,Rajat,Rajat@mycollege.in
1401CS76,Bhoopendra,Bhoopendra@mycollege.in
1401MM76,Mansoon,Mansoon@mycollege.in
1401MT76,Saksham,Saksham@mycollege.in
1401CS87,Shikha,Shikha@mycollege.in
